Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual
205,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD2,1997,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,,,,,,8.5,1050,,,,IRGA,10,1,,570,,125,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,912,6.53,1997,167.449,0.73,-0.988,7.765
206,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-VPD,1997,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Wet,,,,,,8.5,1050,,,,IRGA,10,1,,370,,71,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,912,6.53,1997,167.449,0.73,-0.988,7.765
207,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-WD,1997,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Dry,,,,,,5.5,1000,,,,IRGA,10,1,,800,,124,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,746.7,5.53,1997,178.117,0.742,-1.54,7.265
208,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD1,1997,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,680,,145,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,746.7,5.53,1997,178.117,0.742,-1.54,7.265
209,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD2,1997,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,540,,117,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,746.7,5.53,1997,178.117,0.742,-1.54,7.265
210,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD1,1997,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,470,,83,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,58789.954,391,1,225.6,,Negative,1.53,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,746.7,5.53,1997,178.117,0.742,-1.54,7.265
211,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD2,1997,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,370,,246,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,49372.146,391,1,225.6,,Negative,1.28,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,746.7,5.53,1997,178.117,0.742,-1.54,7.265
212,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD1,1998,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,,,,,,8.5,1050,,,,IRGA,10,1,,940,,197,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,928.6,8.23,1998,167.449,0.73,-0.888,8.615
213,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD2,1998,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,,,,,,8.5,1050,,,,IRGA,10,1,,990,,152,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,928.6,8.23,1998,167.449,0.73,-0.888,8.615
214,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD1,1998,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,,,,,,8.5,1050,,,,IRGA,10,1,,810,,142,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,928.6,8.23,1998,167.449,0.73,-0.888,8.615
215,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD2,1998,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,,,,,,8.5,1050,,,,IRGA,10,1,,710,,125,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,928.6,8.23,1998,167.449,0.73,-0.888,8.615
216,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-VPD,1998,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Wet,,,,,,8.5,1050,,,,IRGA,10,1,,400,,71,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.64,10,49086.76,338.2,1,232.9,,Negative,1.36,5.3,3.9,3.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,928.6,8.23,1998,167.449,0.73,-0.888,8.615
217,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-WD,1998,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Dry,,,,,,5.5,1000,,,,IRGA,10,1,,890,,124,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,953.7,7.09,1998,178.117,0.742,-0.378,8.045
218,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD1,1998,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,840,,145,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,953.7,7.09,1998,178.117,0.742,-0.378,8.045
219,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD2,1998,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,680,,117,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,953.7,7.09,1998,178.117,0.742,-0.378,8.045
220,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD1,1998,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,550,,83,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,58789.954,391,1,225.6,,Negative,1.53,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,953.7,7.09,1998,178.117,0.742,-0.378,8.045
221,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD2,1998,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,410,,246,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,49372.146,391,1,225.6,,Negative,1.28,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,953.7,7.09,1998,178.117,0.742,-0.378,8.045
222,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD1,1999,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,,,,,,8.5,1050,,,,IRGA,10,1,,620,,197,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,85338.13,346.8,1,232.5,,Positive,2.1,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,990.2,8.01,1999,167.449,0.73,-0.521,8.505
223,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD2,1999,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,,,,,,8.5,1050,,,,IRGA,10,1,,440,,152,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,81278.54,346.8,1,232.5,,Positive,2,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,990.2,8.01,1999,167.449,0.73,-0.521,8.505
224,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD1,1999,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,,,,,,8.5,1050,,,,IRGA,10,1,,460,,142,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,78105.02,346.8,1,232.5,,Positive,1.92,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,990.2,8.01,1999,167.449,0.73,-0.521,8.505
225,00:00.0,1891,Savage,,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD2,1999,1,42.53,-72.18,340,None,,,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,,,,,,8.5,1050,,,,IRGA,10,1,,410,,125,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.67,10,71689.5,346.8,1,232.5,,Positive,1.76,5.4,3.9,3.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.18,42.75,-72.25,1077.37,7.47,990.2,8.01,1999,167.449,0.73,-0.521,8.505
227,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-WD,1999,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Dry,,,,,,5.5,1000,,,,IRGA,10,1,,900,,124,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,98554.03,415.1,1,220.8,,Positive,2.93,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,1091.1,7.63,1999,178.117,0.742,0.393,8.315
228,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD1,1999,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,830,,145,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,90468.04,415.1,1,220.8,,Positive,2.69,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,1091.1,7.63,1999,178.117,0.742,0.393,8.315
229,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-MWD2,1999,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Medium,,,,,,5.5,1000,,,,IRGA,10,1,,660,,117,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.82,10,73771.689,415.1,1,220.8,,Positive,2.22,3.6,2.9,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,1091.1,7.63,1999,178.117,0.742,0.393,8.315
230,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD1,1999,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,540,,83,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,58789.954,391,1,225.6,,Negative,1.53,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,1091.1,7.63,1999,178.117,0.742,0.393,8.315
231,00:00.0,1891,Savage,,,BBL,USA,Maine,Howland-VPD2,1999,1,45.2,-68.73,80,None,,,,Picea rubens; Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Aquic Haplorthods,Wet,,,,,,5.5,1000,,,,IRGA,10,1,,490,,246,,,,,,,,,,,,,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,,0.81,10,49372.146,391,1,225.6,,Negative,1.28,4.2,3.3,2.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.27,45.25,-68.75,1021.04,5.87,1091.1,7.63,1999,178.117,0.742,0.393,8.315
869,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,2210,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.92,5,7.15,3.22,10,,,Mixed,7.15,3.22,3.22,3.22,3.22,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
870,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,1350,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.87,5,4.2,2.87,10,,,Mixed,4.2,2.87,2.87,2.87,2.87,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
871,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,2200,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.43,5,7.49,2.56,10,,,Mixed,7.49,2.56,2.56,2.56,2.56,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
872,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,2600,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.78,5,8.29,2.66,10,,,Mixed,8.29,2.66,2.66,2.66,2.66,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
873,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,1900,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.69,5,5.63,1.82,10,,,Mixed,5.63,1.82,1.82,1.82,1.82,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
874,00:00.0,1987,Drewitt,,,BBL,Canada,British Columbia,Campbell River,2000,1,49.85,-125.32,300,None,,,51,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Humo-ferric Podzol,Dry,1.35,,,,,8.6,1452,,,,IRGA,0.1,0.5,,1260,,,,,,,,,,,,,,,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,16,,0.58,5,3.99,1.84,10,,,Mixed,3.99,1.84,1.84,1.84,1.84,,,,,,,,,,,,,,,,,,,6.9,71.5,,,,,,,,,,0.15,0.32,49.75,-125.25,1480.27,4.67,1049.3,4.27,2000,262.235,0.706,-1.643,7.349
1103,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-cool,1998,1,47.32,-71.1,700,None,,,61,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,1.9,,IRGA,14,1,Exclusion,730,120,101,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.81,5,3.93,0.077,10,,,,3.93,2.15,2.15,2.15,2.15,,,,,,,,,,,,,,,,,,,11.3,43.8,,8870,,,,,,,,-0.32,0.1,47.25,-71.25,1434.2,0.52,1429.2,2.18,1998,169.976,0.843,-0.029,2.995
1104,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-cool,1999,1,47.32,-71.1,700,None,,,62,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,2.1,,IRGA,14,1,Exclusion,720,100,101,,,,,,270,440,0.38,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.57,5,3,0.051,10,,,,3,1.66,1.66,1.66,1.66,,,,,,,,,,,,,,,,,,,11.3,43.8,,8870,,,,,,,,-0.32,0.1,47.25,-71.25,1434.2,0.52,1458.4,1.88,1999,169.976,0.843,0.142,2.845
1105,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-cool,2000,1,47.32,-71.1,700,None,,,63,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,1,,IRGA,14,1,Exclusion,550,80,101,,,,,,200,350,0.36,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.86,5,2.49,0.08,10,,,,2.49,2.22,2.22,2.22,2.22,,,,,,,,,,,,,,,,,,,11.3,43.8,,8870,,,,,,,,-0.32,0.1,47.25,-71.25,1434.2,0.52,1155.3,0.55,2000,169.976,0.843,-1.641,2.18
1107,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-midtransect,1998,1,47.73,-68.15,400,None,,,51,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,3.5,,IRGA,14,1,Exclusion,1230,210,140,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.34,5,5.34,0.052,10,,,,5.34,1.68,1.68,1.68,1.68,,,,,,,,,,,,,,,,,,,12,39.6,,7320,,,,,,,,0.27,0.15,47.75,-68.25,1095.64,2.03,1075.5,3.35,1998,120.511,0.781,-0.167,3.865
1108,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-midtransect,1999,1,47.73,-68.15,400,None,,,52,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,2.7,,IRGA,14,1,Exclusion,1300,220,140,,,,,,740,570,0.57,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.78,5,4.77,0.124,10,,,,4.77,3.45,3.45,3.45,3.45,,,,,,,,,,,,,,,,,,,12,39.6,,7320,,,,,,,,0.27,0.15,47.75,-68.25,1095.64,2.03,1014.5,3.57,1999,120.511,0.781,-0.673,3.975
1109,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-midtransect,2000,1,47.73,-68.15,400,None,,,53,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,,,IRGA,14,1,Exclusion,1030,170,140,,,,,,580,450,0.56,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.92,5,4.44,0.125,10,,,,4.44,3.49,3.49,3.49,3.49,,,,,,,,,,,,,,,,,,,12,39.6,,7320,,,,,,,,0.27,0.15,47.75,-68.25,1095.64,2.03,970.5,2.01,2000,120.511,0.781,-1.038,3.195
1111,00:00.0,2349,Lavigne,,,BBL,Canada,,Lavigne-warm,1998,1,46.03,-66.38,50,None,,,41,Abies balsamea,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,,,,5.9,,IRGA,14,1,Exclusion,1540,260,166,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.8,5,5.04,0.092,10,,,,5.04,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,14.9,27.4,,5600,,,,,,,,-0.03,0.38,46.25,-66.25,1068.6,4.38,1212.8,5.64,1998,142.76,0.868,1.01,5.415
