Record_number,Study_number,Author,Site_name,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TS_Flag,Annual_TS_Coverage,TS_Source,TAIR1,TAIR2,TAIR3,TAIR4,TAIR5,TAIR6,TAIR7,TAIR8,TAIR9,TAIR10,TAIR11,TAIR12,Rs1,Rs2,Rs3,Rs4,Rs5,Rs6,Rs7,Rs8,Rs9,Rs10,Rs11,Rs12
1655,395,Mathes,Bremen rubble dump,2.5,53.17,8.08,,None,,,3,Grasses (mix),Temperate,Agriculture,Managed,8.5,954,,,,IRGA,14,1,,200,,,,,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,,,5,11,0.42,,,,None,0.31,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064,10.931,,1,MGRsD,2.3,0.5,2.4,7.2,10.9,13.1,15.3,17.3,12.6,10.5,5.8,2.2,,,,,,,,,,,,
1656,395,Mathes,Bremen rubble dump,2.5,53.17,8.08,,None,,,3,Lotus corniculatus,Temperate,Agriculture,Managed,8.5,954,,,,IRGA,14,1,,250,,,,,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,,,5,31,0.58,,,,None,0.37,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064,10.931,,1,MGRsD,2.3,0.5,2.4,7.2,10.9,13.1,15.3,17.3,12.6,10.5,5.8,2.2,,,,,,,,,,,,
1660,680,Bridgham,Croatan National Forest-short pocosin,1,34.92,-77.08,,None,,,,Pinus spp.,Temperate,Wetland,Natural,16.8,1349,,,,Alkali absorption,30,0.83,,672,48,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.67,10,-2.96,0.057,0,,,,1.06,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335,19,,1,Rs_Ts_Relationship,11.5,12.4,13.8,17.1,21.5,25.5,27.6,26.8,23.5,19.4,12.6,11.5,,,1.505,1.487,1.985,3.139,4.153,3.326,2.454,2.644,1.238,1.248
1661,680,Bridgham,Croatan National Forest-tall pocosin,1,34.92,-77.08,,None,,,,Pinus spp.,Temperate,Wetland,Natural,16.8,1349,,,,Alkali absorption,30,0.83,,794,64,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.78,10,-3.22,0.084,0,,,,1.08,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335,18,,1,Rs_Ts_Relationship,11.5,12.4,13.8,17.1,21.5,25.5,27.6,26.8,23.5,19.4,12.6,11.5,,,1.505,1.487,1.985,3.139,4.153,3.326,2.454,2.644,1.238,1.248
1662,680,Bridgham,Croatan National Forest-gum swamp,1,34.92,-77.08,,None,,,,Eucalyptus spp.,Temperate,Wetland,Natural,16.8,1349,,,,Alkali absorption,30,0.83,,1086,118,,,,,Model has SWC component,Positive,mol CO2/m2/day,,,,0.86,10,-3.85,0.121,-0.002,0,,Negative,,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335,18.5,,1,Rs_Ts_Relationship,11.5,12.4,13.8,17.1,21.5,25.5,27.6,26.8,23.5,19.4,12.6,11.5,,,1.505,1.487,1.985,3.139,4.153,3.326,2.454,2.644,1.238,1.248
1819,2325,Kane,Olympic National Park-DLS,2,47.8,-123.6,710,None,,,79,Pseudotsuga menziesii; Tsuga heterophylla,Temperate,Forest,Natural,3.4,500,,5.8,,IRGA,14,0.5,,1230,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.83,5,0.708,0.109,0,,,,6,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,6.6,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1820,2325,Kane,Olympic National Park-DLN,2,47.8,-123.6,669,None,,,78,Pseudotsuga menziesii; Tsuga heterophylla,Temperate,Forest,Natural,3.4,500,,5.3,,IRGA,14,0.5,,1100,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.62,5,0.604,0.1,0,,,,5,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,7.4,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1822,2325,Kane,Olympic National Park-DMN,2,47.8,-123.6,898,None,,,205,Pseudotsuga menziesii; Tsuga heterophylla,Temperate,Forest,Natural,3.4,500,,5.7,,IRGA,14,0.5,,1030,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.48,5,0.969,0.065,0,,,,5.05,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,5.4,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1823,2325,Kane,Olympic National Park-DHS,2,47.8,-123.6,1423,None,,,76,Pseudotsuga menziesii; Pinus contorta,Temperate,Forest,Natural,3.4,500,,4.4,,IRGA,14,0.5,,880,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.72,5,0.695,0.092,0,,,,5,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,4.6,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1825,2325,Kane,Olympic National Park-RL,2,47.8,-123.6,568,None,,,216,Pseudotsuga menziesii; Tsuga heterophylla,Temperate,Forest,Natural,,,,6.4,,IRGA,14,0.5,,1310,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.62,5,0.969,0.081,0,,,,5.9,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,6.6,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1826,2325,Kane,Olympic National Park-RM,2,47.8,-123.6,940,None,,,302,Pseudotsuga menziesii; Tsuga heterophylla,Temperate,Forest,Natural,,,,5.1,,IRGA,14,0.5,,1090,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.9,5,0.721,0.114,0,,,,6.4,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,4.9,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1827,2325,Kane,Olympic National Park-RH,2,47.8,-123.6,1383,None,,,206,Abies lasiocarpa; Pseudotsuga menziesii,Temperate,Forest,Natural,,,,3.9,,IRGA,14,0.5,,610,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.42,5,0.485,0.048,0,,,,2.7,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,4,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1829,2325,Kane,Olympic National Park-HOH,2,47.8,-123.6,175,None,,,216,Picea sitchensis; Thuja plicata,Temperate,Forest,Natural,7.2,3340,,7.2,,IRGA,14,0.5,,1010,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.65,5,0.16,0.131,0,,,,4.4,47.75,-123.75,3160.26,2.67,2706.2,2.73,2000,379.884,0.677,-1.195,7.5,,1,Table 2,-3.6,-1.9,-0.4,2.6,3.6,7.6,9.6,8.9,7.3,3.1,-1.4,-2.7,,,,,,,,,,,,
1836,4459,Mo,Dinghushan Biosphere Reserve,1,23.17,112.17,275,None,,,400,Castanopsis chinensis; Schima superba; Cryptocarya chinensis; Cryptocarya concinna; Machilus chinensis; Syzygium rehderianum,Tropical,Forest,Natural,21,1927,,,,Gas chromatography,10,1,,604,26,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,15,25,158.5,0.61,5,8.9,0.094,0,,,Positive,,23.25,112.25,1653.52,20.99,1838,21.53,2006,269.812,0.356,0.684,21.45,,1,MGRsD,13.9,15.4,16.4,22.2,24,26.3,27.8,27.5,25.4,25,20,14.5,0.635,0.607,1.149,1.988,2.189,1.962,2.403,2.347,2.333,,,
1877,4383,Knohl,National Park Hainich,1,51.08,10.45,440,None,,,125,Fagus sylvatica,Temperate,Forest,Natural,8.4,899,,,,IRGA,30,1,,892,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,12,0.96,5,0.85,0.109,0,,,,2.53,51.25,10.25,783.33,6.88,769.2,8.12,2000,134.897,0.778,-0.105,8.888,,1,MGRsD,-0.8,2.2,3.5,8.5,13.4,15.2,13.1,15.9,12.4,8.6,4.3,1.1,,,,,3.282,4.461,3.181,4.611,3.531,2.476,1.923,1.596
1878,4383,Knohl,National Park Hainich,1,51.08,10.45,440,None,,,125,Fagus sylvatica,Temperate,Forest,Natural,8.4,899,,,,IRGA,30,1,,870,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,15,0.67,5,1.13,0.085,0,,,,2.64,51.25,10.25,783.33,6.88,852.4,7.18,2001,134.897,0.778,0.512,8.888,,1,MGRsD,-0.9,1.1,1.8,5.2,12.7,12.3,16.7,16.7,9.9,10.6,2,-1.9,0.923,,1.792,2.817,3.562,3.408,5.384,3.707,2.237,3.207,2.637,1.668
1879,4383,Knohl,National Park Hainich,1,51.08,10.45,440,None,,,125,Fagus sylvatica,Temperate,Forest,Natural,8.4,899,,,,IRGA,30,1,,876,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,9,0.88,5,0.83,0.115,0,,,,2.62,51.25,10.25,783.33,6.88,930.4,7.71,2002,134.897,0.778,1.09,8.888,,1,MGRsD,-0.7,3.4,3.4,5.8,12.3,15.3,15.7,17.2,11.4,6.3,4.1,-1.7,,1.517,,1.208,3.359,4.883,4.912,,2.708,,,0.964
1902,4303,Gaumont-Guay,,1,54,-105.1,,None,,,125,Picea mariana,Boreal,Forest,Natural,0.4,457,,,,IRGA,0.1,1,Exclusion,611,,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,-12,13,214,0.9,2,3.7,3.5,10,,,Positive,3.7,54.25,-105.25,482.6,-0.11,711.2,-0.6,2004,73.401,1.136,3.114,1.005,,1,MGRsD,-22.3,-11.1,-6.7,1.5,5.4,11.9,15.7,12.6,7.6,0.2,-4.2,-17.8,0.305,0.204,0.315,0.9,1.012,2.261,4.291,4.8,2.9,1.579,0.708,0.319
1959,2503,Curiel Yuste,De Inslag Forest,1,51.3,4.52,16,None,,,72,Pinus sylvestris,Temperate,Forest,Unmanaged,9.8,750,670,,,IRGA,14,1,,462,182,,,,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,1,21,67,0.68,2,1.06,1.93,10,,,Mixed,1.06,51.25,4.75,800.05,10.19,1015,10.73,2001,119.059,0.786,1.805,9.79,,1,Figure 2,3,4.9,6.1,8.6,15,15.7,18.9,19.1,13.5,14.5,6.6,2.8,0.462,0.704,0.691,0.906,,1.341,1.876,,1.666,1.926,1.108,0.568
396,1116,Silvola,Ilomantsi-I23,1,62.77,30.97,,None,,,,,Boreal,Wetland,Natural,3,650,,,,IRGA,21,0.5,,551,,,,,,Other,Positive,mg CO2/m2/hr,5,32,,0.58,2,4.474,0.091,-0.009,38,,Negative,3.58,62.75,30.75,674.06,1.96,799.3,2.62,1991,85.428,1.117,1.466,5.239,TAIR_6,0.5,MGRsD and TAIR_Del,-10.5,-10.8,-5.1,1.3,6.7,13,15.9,14.5,7.2,4.2,0.6,-5.6,,,,,,,,,,,,
399,1116,Silvola,Ilomantsi-I26,1,62.77,30.97,,None,,,,,Boreal,Wetland,Natural,3,650,,,,IRGA,21,0.5,,154,,,,,,Other,Positive,mg CO2/m2/hr,5,32,,0.77,2,3.144,0.153,,10,,Negative,2.48,62.75,30.75,674.06,1.96,799.3,2.62,1991,85.428,1.117,1.466,5.239,TAIR_6,0.5,MGRsD and TAIR_Del,-10.5,-10.8,-5.1,1.3,6.7,13,15.9,14.5,7.2,4.2,0.6,-5.6,,,,,,,,,,,,
480,3675,Jiabing,Changbai Mountain,1,42.4,128.1,738,None,,,300,Pinus koriaensis,Temperate,Forest,Natural,3.5,732,,,,IRGA,20,1,,1017,,,,,,"Exponential, R=a exp(b(T-c))",,mg CO2/m2/s,-3,18,61,0.85,5,0.038,0.125,0,,,Mixed,3,42.25,128.25,764.26,1.76,695.3,2.68,2003,113.512,0.661,-0.608,6.397,,1,MGRsD,-15.8,-10.1,-5.3,4.2,11,15.5,17,16.3,12,3.5,-4.3,-11.9,0.535,0.682,0.903,1.326,2.7,5.056,6.593,5.938,4.806,2.319,1.56,0.851
489,2537,Bowden,Harvard Forest,1,42.5,-72.33,340,None,,,55,Hardwood,Temperate,Forest,Natural,8.5,1120,,,,Gas chromatography,14,0.75,,482,41,,,,,"Exponential (other), R=a+b^(cT)",Positive,mg C/m2/hr,-10,25,,0.72,2.5,13.2,32.25,0.081,,,Negative,0.69,42.75,-72.25,1077.37,7.47,1205.9,7.33,1989,167.449,0.73,0.768,7.71,TAIR_3,0.75,MGRsD and TAIR_Del,-2.5,-4.4,-0.1,5.4,14.3,18.8,20.6,19.6,15.9,9,2.6,-11.2,,,,0.947,1.455,2.47,3.763,5.05,2.268,1.321,0.949,0.362
490,2537,Bowden,Harvard Forest,1,42.5,-72.33,340,None,,,75,Pinus resinosa,Temperate,Forest,Natural,8.5,1120,,,,Gas chromatography,14,0.75,,430,42,,,,,"Exponential (other), R=a+b^(cT)",Positive,mg C/m2/hr,-10,25,,0.75,2.5,28.6,52.66,0.053,,,Negative,0.85,42.75,-72.25,1077.37,7.47,1205.9,7.33,1989,167.449,0.73,0.768,7.71,TAIR_3,0.75,MGRsD and TAIR_Del,-2.5,-4.4,-0.1,5.4,14.3,18.8,20.6,19.6,15.9,9,2.6,-11.2,,,,0.947,1.455,2.47,3.763,5.05,2.268,1.321,0.949,0.362
507,1500,Ohashi,FRIS Kumamoto,1,32.82,130.73,,None,,,9,Cryptomeria japonica,Temperate,Forest,Managed,16.2,1970,,16.2,1970,IRGA,30,1,,507,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,g CO2/m2/hr,0,32,,0.88,0,-3.61,0.106,0,,,,0.49,32.75,130.75,1878.07,16.74,933.4,17.37,1994,329.079,0.54,-2.871,17.04,,1,Figure 1,5.8,6.7,8.5,16.8,20.3,23.3,29.7,29.5,24.3,19.4,14.9,9.2,,,,,,,,,,,,
509,1500,Ohashi,FRIS Kumamoto,1,32.82,130.73,,None,,,9,Cryptomeria japonica,Temperate,Forest,Managed,16.2,1970,,16.2,1970,IRGA,30,1,,499,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,g CO2/m2/hr,0,32,,0.82,0,-2.95,0.088,0,,,,0.8,32.75,130.75,1878.07,16.74,1819.1,16.12,1995,329.079,0.54,-0.179,16.415,,1,Figure 1,5.3,6.3,10.1,14.5,19.1,22.4,27.4,28.9,23.4,19.2,11,5.8,,,,,,,,,,,,
511,1500,Ohashi,FRIS Kumamoto,1,32.82,130.73,,None,,,9,Cryptomeria japonica,Temperate,Forest,Managed,16.2,1970,,16.2,1970,IRGA,30,1,,592,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,g CO2/m2/hr,0,32,,0.78,0,-2.98,0.079,0,,,,0.71,32.75,130.75,1878.07,16.74,1659.2,16.39,1996,329.079,0.54,-0.665,16.55,,1,Figure 1,5.3,5.2,9.8,12.4,20,23.9,27.4,28.2,24.3,18.8,13.6,7.8,,,,,,,,,,,,
523,3211,Zerva,Harwood Forest,1.5,55.17,-2.05,300,None,,,12,Picea sitchensis,Temperate,Forest,Managed,,,,,,Gas chromatography,10,1,,230,90,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/day,0,10,,0.56,5,0.5,0.25,0,,,,1.6,55.25,-2.25,796.71,7.85,656.7,7.78,2001,147.549,0.545,-0.949,4.29,,1,Rs_Ts_Relationship,1.5,2.2,2,5.5,10.9,11.4,13.7,14.1,11.5,11.8,6.3,2.5,,,,,,,3.272,2.567,1.95,1.888,1.029,0.904
524,3211,Zerva,Harwood Forest,1.5,55.17,-2.05,300,None,,,20,Picea sitchensis,Temperate,Forest,Managed,,,,,,Gas chromatography,10,1,,220,70,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/day,0,10,,0.56,5,0.5,0.25,0,,,,1.6,55.25,-2.25,796.71,7.85,656.7,7.78,2001,147.549,0.545,-0.949,4.29,,1,Rs_Ts_Relationship,1.5,2.2,2,5.5,10.9,11.4,13.7,14.1,11.5,11.8,6.3,2.5,,,,,,,3.272,2.567,1.95,1.888,1.029,0.904
525,3211,Zerva,Harwood Forest,1.5,55.17,-2.05,300,None,,,30,Picea sitchensis,Temperate,Forest,Managed,,,,,,Gas chromatography,10,1,,540,70,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/day,0,10,,0.56,5,0.5,0.25,0,,,,1.6,55.25,-2.25,796.71,7.85,656.7,7.78,2001,147.549,0.545,-0.949,4.29,,1,Rs_Ts_Relationship,1.5,2.2,2,5.5,10.9,11.4,13.7,14.1,11.5,11.8,6.3,2.5,,,,,,,3.272,2.567,1.95,1.888,1.029,0.904
526,3211,Zerva,Harwood Forest,1.5,55.17,-2.05,300,None,,,40,Picea sitchensis,Temperate,Forest,Managed,,,,,,Gas chromatography,10,1,,500,40,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/day,0,10,,0.56,5,0.5,0.25,0,,,,1.6,55.25,-2.25,796.71,7.85,656.7,7.78,2001,147.549,0.545,-0.949,4.29,,1,Rs_Ts_Relationship,1.5,2.2,2,5.5,10.9,11.4,13.7,14.1,11.5,11.8,6.3,2.5,,,,,,,3.272,2.567,1.95,1.888,1.029,0.904
544,1118,Simmons,Simmons-8,1.5,45.03,-68.77,50,None,,,100,Acer rubrum-Betula canadensis,Temperate,Forest,Natural,5.1,920,,5.1,920,Gas chromatography,30,0.5,,478,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,g CO2/m2/hr,0,25,,0.54,7.5,-3.05,0.098,0,,,None,0.8,45.25,-68.75,1021.04,5.87,955.9,5.7,1994,178.117,0.742,-0.366,6.21,TAIR_6,0.5,MGRsD and TAIR_Del,-14.1,-10.3,-2,4.9,10.3,18.4,21.7,18.3,13.4,8.2,3.1,-3.5,,,,0.483,0.676,1.95,2.302,1.568,1.11,0.79,0.686,
556,1207,Mallik,Eskwanonwatin Lake-4,1,49.17,-88.65,,None,,,80,Populus tremuloides-Abies balsamea,Boreal,Forest,Natural,5.5,842,480,,,IRGA,30,0.42,,670,,,,,,"Linear, R=a+b(T-c)",Positive,g CO2/m2/hr,5,20,,0.45,5,0.08,0.05,0,,,Positive,1.01,49.25,-88.75,765.6,1.66,772.5,1.12,1994,114.609,1.174,0.06,1.656,TAIR_7,0.42,MGRsD and TAIR_Del,-24.5,-18.2,-6.8,0.2,8.5,14.8,15.2,14.1,11.4,7.2,-1.7,-6.8,,,,,,3.827,4.751,4.416,5.238,2.256,,
557,1292,Davidson,Harvard Forest-Prospect Hill-NW20,1,42.53,-72.18,340,None,,,60,Mixed hardwood,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,730,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
558,1292,Davidson,Harvard Forest-Prospect Hill-NW150,1,42.53,-72.18,340,None,,,60,Tsuga canadensis,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,560,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
559,1292,Davidson,Harvard Forest-Prospect Hill-NW250,1,42.53,-72.18,340,None,,,60,Acer rubrum-Sphagnum,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,810,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
560,1292,Davidson,Harvard Forest-Prospect Hill-SW20,1,42.53,-72.18,340,None,,,60,Tsuga canadensis,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,710,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
561,1292,Davidson,Harvard Forest-Prospect Hill-SW100,1,42.53,-72.18,340,None,,,60,Mixed hardwood,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,830,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
562,1292,Davidson,Harvard Forest-Prospect Hill-SW200,1,42.53,-72.18,340,None,,,60,Mixed hardwood,Temperate,Forest,Natural,8.5,1050,,,,IRGA,30,0.42,,720,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,,0.8,10,21.13,0.137,0,,,Mixed,1.93,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,,0.42,MGRsD,-6.7,-5.5,-2.4,5.8,11.1,17.9,19.3,19.4,14.7,7.5,-0.1,-0.4,0.676,0.713,0.666,0.767,1.479,2.501,,,,,,
563,1384,Rustad,Howland Forest,3,45.17,-68.67,60,None,,,85,Picea rubens,Temperate,Forest,Natural,5.5,1000,,,,Soda lime,21,0.5,,427,,,,,,"Linear, R=a+b(T-c)",Positive,g CO2/m2/hr,,,,0.35,,-1.88,0.38,0,,,Positive,1.5,45.25,-68.75,1021.04,5.87,955.9,5.7,1994,178.117,0.742,-0.366,5,,1,Rs_Ts_Relationship,-14.1,-10.3,-2,4.9,10.3,18.4,21.7,18.3,13.4,8.2,3.1,-3.5,,,,,0.409,1.06,0.968,1.077,0.988,0.576,0.504,
567,1518,Soegaard,Zackenberg-Rylekaeret,1,74.47,-20.57,,None,,,,Eriophorum scheuchzeri,Arctic,Shrubland,Natural,-9,200,,-19.5,223,IRGA,,0.5,,103,,,,,,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d))), T in K",Positive,umol CO2/m2/s,,,,,,1.6,308.56,56.02,227.15,,,1.6,74.25,-20.75,216.63,-13.1,218.3,-11.43,1996,104.028,1.079,0.016,-7.87,TAIR_6,0.5,MGRsD and TAIR_Del,-20.6,-22.5,-17.2,-13.1,-7.8,-1.3,1.6,1,-4.3,-12.8,-16.3,-23.8,,,,,0.417,0.886,1.129,0.933,0.696,0.33,,
611,1954,Borken,Solling,1,51.77,9.58,504,None,,,150,Fagus sylvatica,Temperate,Forest,Natural,7.5,1038,,7.7,1571,IRGA,21,1,,489,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,20,,0.69,10,6.34E+15,74.6,0.008,0,,None,1.67,51.75,9.75,950.76,8.17,1156.5,8.24,1998,174.947,0.767,1.176,8.44,,1,Figure 1,1.9,4.3,4.3,7.9,13.3,15.2,15.2,15.2,12.6,7.1,0.9,1,,,,,,,,,,,,
612,1954,Borken,Solling,1,51.77,9.57,508,None,,,115,Picea abies,Temperate,Forest,Natural,7.5,1038,,7.7,1571,IRGA,21,1,,512,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,20,,0.86,10,4.11E+15,74.5,0.008,0,,None,1.71,51.75,9.75,950.76,8.17,1156.5,8.24,1998,174.947,0.767,1.176,8.84,,1,Figure 1,1.9,4.3,4.3,7.9,13.3,15.2,15.2,15.2,12.6,7.1,0.9,1,,,,,,,,,,,,
613,1954,Borken,Solling,1,51.57,9.67,270,None,,,103,Pinus sylvestris,Temperate,Forest,Natural,7.5,900,,7.7,1571,IRGA,21,1,,515,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,20,,0.83,10,2.18E+18,89.6,0.008,0,,None,1.48,51.75,9.75,950.76,8.17,1156.5,8.24,1998,174.947,0.767,1.176,9.26,,1,Figure 1,1.9,4.3,4.3,7.9,13.3,15.2,15.2,15.2,12.6,7.1,0.9,1,,,,,,,,,,,,
614,1954,Borken,Unterlüß,1,52.83,10.3,117,None,,,131,Fagus sylvatica,Temperate,Forest,Natural,8.4,837,,8.9,1190,IRGA,21,1,,594,,,,,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,20,,0.86,10,3.00E+17,84.8,0.008,0,,Positive,1.57,52.75,10.25,680.57,8.62,798.8,8.77,1998,110.145,0.841,1.073,6.39,,1,Figure 1,2.9,5.5,4.9,8.2,13.9,15.8,15.5,15.4,12.8,7.9,0.9,1.5,,,,,,,,,,,,
