"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rs_max","Rs_maxday","Rs_min","Rs_minday","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","Model_type","Temp_effect","Model_output_units","Model_temp_min","Model_temp_max","Model_N","Model_R2","T_depth","Model_paramA","Model_paramB","Model_paramC","Model_paramD","Model_paramE","WC_effect","R10","Q10_0_10","Q10_5_15","Q10_10_20","Q10_0_20","Q10_other1","Q10_other1_temp_min","Q10_other1_temp_max","Q10_other2","Q10_other2_temp_min","Q10_other2_temp_max","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes","Lat_Adj","Long_Adj","Lat_Round","Long_Round","MAP_Del","MAT_Del","PAnnual_Del","TAnnual_Del","Year","mtr_out","Rs_TAIR_units","Rs_TAIR","Rs_annual_bahn","Rs_annual_bahn_err","labl","higherr","TAIR_LTM_dev","TAIR_dev"
1172,"00:00.0",2656,"King",NA,"","BBL","USA","Tennessee","Oak Ridge",1999,1,35.9,-84.33,230,"None","",NA,10,"Liquidambar styracifua","Temperate","Forest","Managed","Deciduous","Aggrading","Aquic Hapludult (silty clay loam)","Dry",NA,NA,NA,NA,NA,14.2,1390,NA,NA,NA,"IRGA",21,1,"",898,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",7,25,NA,0.35,6.5,3.1,2,20,NA,NA,"",1.55,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.1,0.33,35.75,-84.25,1319.73,14.83,1282.1,15.53,1999,FALSE,2.27405668345935,2.27405668345935,1041.1237017955,0.16,NA,FALSE,0.630000000000001,NA
1173,"00:00.0",2656,"King",NA,"","BBL","USA","Tennessee","Oak Ridge",2000,1,35.9,-84.33,230,"None","",NA,10,"Liquidambar styracifua","Temperate","Forest","Managed","Deciduous","Aggrading","Aquic Hapludult (silty clay loam)","Dry",NA,NA,NA,NA,NA,14.2,1390,NA,NA,NA,"IRGA",21,1,"",996,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",7,25,NA,0.47,6.5,3.5,2.1,20,NA,NA,"",1.67,NA,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.1,0.33,35.75,-84.25,1319.73,14.83,1213.9,14.91,2000,FALSE,2.39915564298187,2.39915564298187,1098.71501513129,0.1,NA,FALSE,0.630000000000001,NA
1174,"00:00.0",2656,"King",NA,"","BBL","USA","Tennessee","Oak Ridge",2001,1,35.9,-84.33,230,"None","",NA,10,"Liquidambar styracifua","Temperate","Forest","Managed","Deciduous","Aggrading","Aquic Hapludult (silty clay loam)","Dry",NA,NA,NA,NA,NA,14.2,1390,NA,NA,NA,"IRGA",21,1,"",698,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",7,25,NA,0.42,6.5,2.6,2.2,20,NA,NA,"",1.18,NA,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.1,0.33,35.75,-84.25,1319.73,14.83,1085.8,15.17,2001,FALSE,1.77657355482722,1.77657355482722,812.279070581964,0.16,NA,FALSE,0.630000000000001,NA
1175,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",1998,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",707,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.24,6.5,4.02,1.7,20,NA,NA,"",2.36,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,770.7,6.75,1998,FALSE,1.9901290183441,1.9901290183441,910.478116172723,0.29,NA,FALSE,0.61,NA
1176,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",1999,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",997,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.12,6.5,5.97,1.5,20,NA,NA,"",3.98,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,794.2,4.94,1999,TRUE,3.24176026711426,3.24176026711426,1487.00843712491,0.49,NA,FALSE,0.61,NA
1177,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",2000,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",710,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.24,6.5,6.84,3.2,20,NA,NA,"",2.14,NA,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,568.1,4.23,2000,TRUE,1.09253305581732,1.09253305581732,498.21460377083,0.3,NA,FALSE,0.61,NA
1178,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",2001,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",1033,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.41,6.5,7.4,2.6,20,NA,NA,"",2.85,NA,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,865.8,5.33,2001,FALSE,1.82165369169982,1.82165369169982,833.003170766833,0.19,NA,FALSE,0.61,NA
1179,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",1998,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides; Betula papyrifera","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",657,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.3,6.5,3.8,1.7,20,NA,NA,"",2.24,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,770.7,6.75,1998,FALSE,1.88121648500188,1.88121648500188,860.389429291183,0.31,NA,FALSE,0.61,NA
1180,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",1999,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides; Betula papyrifera","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",860,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.15,6.5,5.1,1.5,20,NA,NA,"",3.4,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,794.2,4.94,1999,TRUE,2.7693429417559,2.7693429417559,1269.22873309838,0.48,NA,FALSE,0.61,NA
1181,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",2000,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides; Betula papyrifera","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",606,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.23,6.5,5.77,2.6,20,NA,NA,"",2.22,NA,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,568.1,4.23,2000,TRUE,1.2786828589838,1.2786828589838,583.597850456888,0.04,NA,FALSE,0.61,NA
1182,"00:00.0",2656,"King",NA,"","BBL","USA","Wisconsin","FACTS-II",2001,1,46.67,-89.62,490,"None","",NA,0,"Populus tremuloides; Betula papyrifera","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Alfic Haplorthod (sandy loam)","Dry",NA,NA,NA,NA,NA,4.9,810,NA,NA,NA,"IRGA",21,1,"",924,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",5,25,NA,0.3,6.5,6.53,2.5,20,NA,NA,"",2.61,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.33,-0.38,46.75,-89.75,817.73,4.29,865.8,5.33,2001,FALSE,1.70268844412845,1.70268844412845,778.319012582905,0.16,NA,FALSE,0.61,NA
1183,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2000,1,42.37,11.8,150,"None","",NA,1,"Populus X euroamericana","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",808,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.39,6.5,2.69,2,20,NA,NA,"",1.35,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,759.1,16.65,2000,FALSE,2.13258932748166,2.13258932748166,976.017604974022,0.21,NA,FALSE,1.38,NA
1184,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2001,1,42.37,11.8,150,"None","",NA,2,"Populus X euroamericana","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",724,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.24,6.5,2.7,2,20,NA,NA,"",1.35,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,599.8,16.41,2001,FALSE,2.10520307505057,2.10520307505057,963.416553526438,0.33,NA,FALSE,1.38,NA
1185,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2000,1,42.37,11.8,150,"None","",NA,1,"Populus alba","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",747,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.3,6.5,2.6,2.2,20,NA,NA,"",1.18,2.2,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,759.1,16.65,2000,FALSE,1.99646522483515,1.99646522483515,913.392590350539,0.22,NA,FALSE,1.38,NA
1186,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2001,1,42.37,11.8,150,"None","",NA,2,"Populus alba","Temperate","Forest","Unmanaged","Deciduous","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",751,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.2,6.5,3.04,2.4,20,NA,NA,"",1.27,2.4,2.4,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,599.8,16.41,2001,FALSE,2.22012663868092,2.22012663868092,1016.3013641448,0.35,NA,FALSE,1.38,NA
1187,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2000,1,42.37,11.8,150,"None","",NA,1,"Pinus nigra","Temperate","Forest","Unmanaged","Evergreen","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",707,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.33,6.5,2.48,2.3,20,NA,NA,"",1.08,2.3,2.3,2.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,759.1,16.65,2000,FALSE,1.87617288776238,1.87617288776238,858.070260154091,0.21,NA,FALSE,1.38,NA
1188,"00:00.0",2656,"King",NA,"","BBL","Italy","","POPFACE",2001,1,42.37,11.8,150,"None","",NA,2,"Pinus nigra","Temperate","Forest","Unmanaged","Evergreen","Aggrading","Heavy clay loam","Dry",NA,NA,NA,NA,NA,14.1,818,NA,NA,NA,"IRGA",21,1,"",753,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",0,25,NA,0.26,6.5,3.19,2.5,20,NA,NA,"",1.28,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.37,0.2,42.25,11.75,773.76,15.48,599.8,16.41,2001,FALSE,2.295779745175,2.295779745175,1051.12306009841,0.4,NA,FALSE,1.38,NA
1195,"00:00.0",2656,"King",NA,"","BBL","USA","Tennessee","Oak Ridge",1997,1,35.9,-84.33,230,"None","",NA,10,"Liquidambar styracifua","Temperate","Forest","Managed","Deciduous","Aggrading","Aquic Hapludult (silty clay loam)","Dry",NA,NA,NA,NA,NA,14.2,1390,NA,NA,NA,"IRGA",21,1,"",598,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Q10, R=a b^((T-c)/10)","Positive","umol CO2/m2/s",7,25,NA,0.42,6.5,2.5,2.6,20,NA,NA,"",0.96,NA,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.1,0.33,35.75,-84.25,1319.73,14.83,1344.1,14.64,1997,FALSE,1.49800855696658,1.49800855696658,684.284010708609,0.14,NA,FALSE,0.630000000000001,NA
1214,"00:00.0",2680,"Liang",NA,"","BBL","Japan","","Tomakomai",2001,1,42.73,141.52,125,"None","",NA,45,"Larix kaempferi","Temperate","Forest","Managed","Deciduous","Mature","Volcanogenous regosol (pumice)","Dry",NA,NA,NA,NA,NA,7.3,1250,NA,NA,NA,"IRGA",0.1,0.33,"",665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",6,22,NA,0.84,5,0.61,0.11,0,NA,NA,"Positive",1.83,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,23.2,NA,NA,655,NA,NA,NA,NA,NA,"",0.27,0.48,42.75,141.75,1060.17,6.67,1169.5,5.77,2001,TRUE,1.15073823303152,1.15073823303152,524.904307662409,0.21,NA,FALSE,0.63,NA
1215,"00:00.0",2680,"Liang",NA,"","BBL","Japan","","Tomakomai",2001,1,42.73,141.52,125,"None","",NA,45,"Larix kaempferi","Temperate","Forest","Managed","Deciduous","Mature","Volcanogenous regosol (pumice)","Dry",NA,NA,NA,NA,NA,7.3,1250,NA,NA,NA,"IRGA",0.1,0.33,"",1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",6,22,NA,0.1,5,2.01,0.05,0,NA,NA,"None",3.31,NA,1.65,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,23.2,NA,NA,655,NA,NA,NA,NA,NA,"",0.27,0.48,42.75,141.75,1060.17,6.67,1169.5,5.77,2001,TRUE,2.68219294254103,2.68219294254103,1229.07442658001,0.07,NA,FALSE,0.63,NA
1216,"00:00.0",2680,"Liang",NA,"","BBL","Japan","","Tomakomai",2001,1,42.73,141.52,125,"None","",NA,45,"Larix kaempferi","Temperate","Forest","Managed","Deciduous","Mature","Volcanogenous regosol (pumice)","Dry",NA,NA,NA,NA,NA,7.3,1250,NA,NA,NA,"IRGA",0.1,0.33,"",720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",6,22,NA,0.73,5,1.14,0.06,0,NA,NA,"Negative",2.08,NA,1.82,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,23.2,NA,NA,655,NA,NA,NA,NA,NA,"",0.27,0.48,42.75,141.75,1060.17,6.67,1169.5,5.77,2001,TRUE,1.61160127005629,1.61160127005629,736.46330548828,0.02,NA,FALSE,0.63,NA
1217,"00:00.0",2680,"Liang",NA,"","BBL","Japan","","Tomakomai",2001,1,42.73,141.52,125,"None","",NA,45,"Larix kaempferi","Temperate","Forest","Managed","Deciduous","Mature","Volcanogenous regosol (pumice)","Dry",NA,NA,NA,NA,NA,7.3,1250,NA,NA,NA,"Gradient",0.1,0.33,"",902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",6,22,NA,0.85,5,0.93,0.1,0,NA,NA,"Positive",2.53,NA,2.72,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,23.2,NA,NA,655,NA,NA,NA,NA,NA,"",0.27,0.48,42.75,141.75,1060.17,6.67,1169.5,5.77,2001,TRUE,1.65604016047764,1.65604016047764,756.881984420294,0.16,NA,FALSE,0.63,NA
4650,"00:00.0",2747,"Pumpanen",NA,"","BBL","Finland","","",1998,1,61.8,24.31666667,152,"None","",NA,130,"Pinus sylvestris; Picea abies","Boreal","Forest","Managed","Evergreen","Mature","Haplic podzol","Dry",NA,NA,NA,NA,NA,2.9,709,NA,NA,NA,"IRGA",7,0.75,"",572,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,20,NA,0.44,NA,0.1146,0.1196,0,NA,NA,"",2.392,3.307,3.307,3.307,3.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.2,-0.317,61.75,24.25,590.34,3.33,560.7,2.99,1998,FALSE,0.163866456140228,1.03451045540921,471.616263869656,0.18,NA,FALSE,0.43,NA
4651,"00:00.0",2747,"Pumpanen",NA,"","BBL","Finland","","",1999,1,61.8,24.31666667,152,"None","",NA,130,"Pinus sylvestris; Picea abies","Boreal","Forest","Managed","Evergreen","Mature","Haplic podzol","Dry",NA,NA,NA,NA,NA,2.9,709,NA,NA,NA,"IRGA",7,0.75,"",581,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,20,NA,0.44,NA,0.1197,0.107,0,NA,NA,"",2.203,2.915,2.915,2.915,2.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.2,-0.317,61.75,24.25,590.34,3.33,570.7,3.85,1999,FALSE,0.180718145895355,1.14089738567927,520.391312023205,0.1,NA,FALSE,0.43,NA
4652,"00:00.0",2747,"Pumpanen",NA,"","BBL","Finland","","",2000,1,61.8,24.31666667,152,"None","",NA,130,"Pinus sylvestris; Picea abies","Boreal","Forest","Managed","Evergreen","Mature","Haplic podzol","Dry",NA,NA,NA,NA,NA,2.9,709,NA,NA,NA,"IRGA",7,0.75,"",560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,20,NA,0.44,NA,0.1197,0.107,0,NA,NA,"",2.203,2.915,2.915,2.915,2.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.2,-0.317,61.75,24.25,590.34,3.33,676.5,4.96,2000,FALSE,0.203508670847861,1.28477696239664,586.394287976388,0.05,NA,FALSE,0.43,NA
1261,"00:00.0",2771,"Smith",NA,"","BBL","USA","Kansas","Flint Hills",1999.5,1.5,39,-96,200,"None","",NA,1,"Andropogon gerardii; Schizachrium scoparium; Sorghastrum nutans; Panicum virgatum","Temperate","Grassland","Natural","Deciduous","Mature","Silty clay loam","Dry",NA,NA,NA,NA,NA,13,835,NA,NA,NA,"IRGA",25,1,"",858,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential (log1), log(R)=a+b(T-c)","Positive","umol CO2/m2/s",8,32,NA,0.67,10,-0.33,0.038,0,NA,NA,"None",1.12,NA,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,39.25,-95.75,902.59,12.43,666.3,13.14,2000,FALSE,1.47679427472229,1.47679427472229,674.541460855052,0.21,NA,FALSE,0.57,NA
1262,"00:00.0",2771,"Smith",NA,"","BBL","USA","Kansas","Flint Hills",1999.5,1.5,39,-96,200,"None","",NA,40,"Juniperus virginiana","Temperate","Forest","Natural","Deciduous","Mature","Silty clay loam","Dry",NA,NA,NA,NA,NA,13,835,NA,NA,NA,"IRGA",25,1,"",534,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential (log1), log(R)=a+b(T-c)","Positive","umol CO2/m2/s",2,32,NA,0.37,10,-0.344,0.034,0,NA,NA,"Positive",0.99,2.2,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,39.25,-95.75,902.59,12.43,666.3,13.14,2000,FALSE,1.26695152907641,1.26695152907641,578.214828166052,0.08,NA,FALSE,0.57,NA
